,Country_ID,Country,Lat,Long,GDP (billion USD),Real GDP 2020 (billion USD),Real GDP 2019 (billion USD),Real GDP 2018 (billion USD),Real GDP Per Capita 2020,Real GDP Per Capita 2019,Real GDP Per Capita 2018,Wasted Generated Annually (million tons),Wasted Recycled Annually (million tons),% of Wasted Recycled Annually,Particulate Matter Emissions (micrograms per m3),C02 Emissions (megatons),Methane  Emissions (megatons),Electricity by Unclean Energy (%),Electricity by Clean Energy (%),Electricity by Fossil Fules (%),Electricity by Nuclear (%),Electricity by Solar (%),Electricity by Wind (%),Electricity by Hydroelectricty (%),Electricity by Tide and Wave (%),Electricity by Geothermal (%),Electricity by Biomass and Waste (%),Urban Population (%),"Net Migration (migrant(s)/1,000 population)",Total Agreement
0,0,Algeria,28.00,-3.00,169.91,468.4,495.56,491.63,10700,11500,11600,12.38,0.99,8.0,35.17,150.01,49.94,98.9,1.0999999999999943,98.9,0.0,0.9,0.0,0.1,0.0,0.0,0.0,74.8,-0.82,13
1,1,Botswana,-22.00,-24.00,18.34,37.72,40.95,39.75,16000,17800,17600,0.21,0.0,1.0,21.24,6.34,5.73,99.8,0.20000000000000284,99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,72.2,2.81,11
2,2,Benin,9.30,-2.15,10.31,40.29,38.79,36.3,3300,3300,3200,0.69,0.17,25.0,33.11,6.48,5.8,96.9,3.0999999999999943,96.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0,49.5,0.24,17
3,3,Congo (Brazzaville),-1.00,-15.00,8.72,19.03,20.68,20.63,3400,3800,3900,0.45,0.12,26.2,38.67,3.28,2.24,70.1,29.900000000000006,70.1,0.0,0.0,0.0,29.9,0.0,0.0,0.0,68.7,0.0,13
4,4,DRC,0.00,-25.00,47.16,96.03,95.29,91.29,1100,1100,1100,14.39,0.7,4.9,37.62,2.02,61.24,0.1,99.9,0.1,0.0,0.1,0.0,99.6,0.0,0.0,0.3,46.8,-0.71,14
5,5,Cameroon,6.00,-12.00,34.99,94.94,94.25,90.87,3600,3600,3600,3.27,0.01,0.4,65.26,8.29,30.71,32.5,67.5,32.5,0.0,0.2,0.0,67.3,0.0,0.0,0.0,58.7,-0.31,15
6,6,Egypt,27.00,-30.00,323.76,1223.04,1180.89,1118.72,12000,11800,11400,21.0,2.62,12.5,79.28,238.56,59.68,88.7,11.299999999999997,88.7,0.0,1.0,2.5,7.7,0.0,0.0,0.2,43.0,-0.31,15
7,7,Guinea,11.00,-10.00,13.55,35.08,32.78,31.03,2700,2600,2500,0.6,0.03,5.0,22.43,3.0,11.13,22.2,77.8,22.2,0.0,0.7,0.0,77.1,0.0,0.0,0.0,37.7,0.0,13
8,8,Cote d'Ivoire,8.00,-5.00,42.5,136.48,134.05,126.19,5200,5200,5000,4.44,0.13,3.0,23.72,9.67,10.3,75.6,24.400000000000006,75.6,0.0,0.2,0.0,24.2,0.0,0.0,0.0,52.7,1.18,16
9,9,Kenya,1.00,-38.00,95.52,226.94,227.64,216.05,4200,4300,4200,5.6,0.45,8.0,25.85,17.91,37.65,8.3,91.7,8.3,0.0,1.0,10.7,32.6,0.0,46.2,1.2,29.0,-0.19,17
10,10,Morocco,28.30,-10.00,118.86,259.42,279.3,272.53,6900,7500,7400,6.85,0.55,8.0,30.99,61.28,17.16,81.6,18.400000000000006,81.6,0.0,1.1,13.0,4.4,0.0,0.0,0.0,64.6,-1.74,16
11,11,Mauritania,20.00,-12.00,0.71,23.17,23.52,22.2,5000,5200,5000,0.45,0.04,8.0,40.82,2.74,6.16,73.2,26.799999999999997,73.2,0.0,8.1,6.8,11.9,0.0,0.0,0.0,56.9,-0.72,14
12,12,Mozambique,-18.15,-35.00,14.96,38.42,38.91,38.04,1200,1300,1300,2.5,0.03,1.0,19.44,7.94,16.26,19.6,80.4,19.6,0.0,0.2,0.0,79.6,0.0,0.0,0.6,38.2,-1.58,13
13,13,Niger,16.00,-8.00,12.93,28.97,28.54,26.95,1200,1200,1200,1.87,0.07,4.0,70.8,2.02,22.99,94.1,5.900000000000006,94.1,0.0,5.9,0.0,0.0,0.0,0.0,0.0,16.9,-0.64,13
14,14,South Africa,-29.00,-24.00,350.03,680.04,730.91,729.8,11500,12500,12600,18.46,5.17,28.0,23.58,476.64,55.89,87.9,12.099999999999994,87.9,5.2,1.6,2.6,2.5,0.0,0.0,0.2,68.3,0.0,21
15,15,Togo,8.00,-1.10,5.23,17.45,17.15,16.26,2100,2100,2100,1.11,0.02,2.0,32.71,3.0,3.06,82.2,17.799999999999997,82.2,0.0,0.6,0.0,17.2,0.0,0.0,0.0,43.9,-1.81,15
16,16,Tunisia,34.00,-9.00,38.88,114.97,125.78,124.48,9700,10800,10800,2.7,0.11,4.0,35.66,29.94,7.89,95.9,4.099999999999994,95.9,0.0,1.3,2.6,0.3,0.0,0.0,0.0,70.2,-1.33,15
17,17,Uganda,1.00,-32.00,34.68,99.61,96.84,90.67,2200,2200,2100,7.05,0.42,6.0,48.41,5.68,30.24,1.3,98.7,1.3,0.0,1.6,0.0,86.4,0.0,0.0,10.8,26.2,-3.26,14
18,18,Burkina Faso,13.00,-2.00,14.27,45.16,44.27,41.88,2200,2200,2100,2.58,0.31,12.0,36.78,3.42,12.85,89.4,10.599999999999994,89.4,0.0,3.3,0.0,6.9,0.0,0.0,0.4,31.9,-0.61,12
19,19,Namibia,-22.00,-17.00,12.37,22.6,24.56,24.71,8900,9800,10100,0.26,0.01,4.5,22.59,4.23,10.4,6.1,93.9,6.1,0.0,4.7,0.5,88.8,0.0,0.0,0.0,54.0,0.0,13
20,20,Zimbabwe,-20.00,-30.00,21.44,40.79,44.34,48.25,2700,3000,3300,1.45,0.23,16.0,19.35,10.98,12.1,32.9,67.1,32.9,0.0,0.1,0.0,65.3,0.0,0.0,1.7,32.4,-4.83,11
21,21,Australia,-27.00,-133.00,1390.79,1250.9,1254.48,1227.94,48700,49500,49200,13.35,5.62,42.1,7.19,375.91,105.01,75.4,24.599999999999994,75.4,0.0,8.6,8.4,6.2,0.0,0.0,1.4,86.5,6.93,23
22,22,Fiji,-18.00,-175.00,4.89,9.86,12.18,12.23,11000,13700,13800,0.19,0.01,5.5,10.19,2.05,0.95,41.9,58.1,41.9,0.0,1.6,0.3,50.2,0.0,0.0,6.0,58.2,-5.84,14
23,23,Vanuatu,-16.00,-167.00,0.87,0.85,0.93,0.91,2800,3100,3100,0.07,0.03,37.0,10.31,0.15,0.5,84.5,15.5,84.5,0.0,8.2,7.4,0.0,0.0,0.0,0.0,25.8,-1.3,15
24,24,Samoa,-13.35,-172.20,0.84,1.25,1.28,1.24,6300,6500,6300,0.03,0.01,36.0,10.56,0.25,0.27,72.7,27.299999999999997,72.7,0.0,0.0,0.1,27.2,0.0,0.0,0.0,17.6,-7.51,13
25,25,Barbados,13.10,-59.32,4.99,3.7,4.49,4.49,12900,15600,15700,0.17,0.02,9.0,22.24,1.28,2.35,95.9,4.099999999999994,95.9,0.0,4.1,0.0,0.0,0.0,0.0,0.0,31.3,-0.29,14
26,26,Costa Rica,10.00,-84.00,61.85,100.25,105.02,102.79,19700,20800,20600,1.46,0.02,1.3,15.85,8.02,5.61,0.2,99.8,0.2,0.0,0.6,12.5,71.1,0.0,14.5,1.2,82.0,0.77,16
27,27,The Dominican,19.00,-70.40,88.96,184.45,197.74,188.23,17000,18400,17700,4.06,0.33,8.2,12.95,25.26,8.1,93.4,6.599999999999994,93.4,0.0,1.5,3.2,0.7,0.0,0.0,1.2,83.8,-2.68,16
28,28,Kazakhstan,48.00,-68.00,181.19,475.18,487.87,466.86,25300,26400,25500,4.66,0.14,2.9,11.32,247.21,45.03,88.2,11.799999999999997,88.2,0.0,0.9,0.7,10.1,0.0,0.0,0.0,58.0,0.39,14
29,29,Russia,60.00,-100.00,1702.36,3875.69,3993.55,3913.98,26500,27200,26700,60.0,2.7,4.5,13.75,1732.03,851.52,59.4,40.6,59.4,21.0,0.2,0.0,19.1,0.0,0.0,0.3,75.1,1.7,23
30,30,Indonesia,-5.00,-120.00,1119.72,3130.47,3196.62,3043.88,11400,11800,11400,65.2,4.56,7.0,15.58,563.32,244.5,82.3,17.700000000000003,82.3,0.0,0.0,0.2,6.8,0.0,5.7,5.0,57.9,-0.71,14
31,31,South Korea,37.00,-127.30,1646.6,2187.8,2208.96,2164.81,42300,42700,41900,18.22,10.57,58.0,24.57,620.3,30.28,64.8,35.2,64.8,27.7,3.3,0.6,1.3,0.7,0.0,1.7,81.4,2.63,21
32,32,Laos,18.00,-105.00,16.97,56.79,56.54,53.62,7800,7900,7600,0.35,0.04,10.0,24.49,17.76,9.0,35.6,64.4,35.6,0.0,0.1,0.0,64.1,0.0,0.0,0.2,37.6,-1.17,14
